,Statistic Label,CensusYear,County,Sex,UNIT,VALUE
0,Population at Each Census,1841,State,Both sexes,Number,6528799.0
1,Population at Each Census,1841,Donegal,Both sexes,Number,296448.0
2,Population at Each Census,1841,Cavan,Both sexes,Number,243158.0
3,Population at Each Census,1841,Sligo,Both sexes,Number,180886.0
4,Population at Each Census,1841,Roscommon,Both sexes,Number,253591.0
5,Population at Each Census,1841,Mayo,Both sexes,Number,388887.0
6,Population at Each Census,1841,Leitrim,Both sexes,Number,155297.0
7,Population at Each Census,1841,Galway,Both sexes,Number,440198.0
8,Population at Each Census,1841,Waterford,Both sexes,Number,196187.0
9,Population at Each Census,1841,Tipperary,Both sexes,Number,435553.0
10,Population at Each Census,1841,Limerick,Both sexes,Number,330029.0
11,Population at Each Census,1841,Kerry,Both sexes,Number,293880.0
12,Population at Each Census,1841,Cork,Both sexes,Number,854118.0
13,Population at Each Census,1841,Monaghan,Both sexes,Number,200442.0
14,Population at Each Census,1841,Wicklow,Both sexes,Number,126143.0
15,Population at Each Census,1841,Carlow,Both sexes,Number,86228.0
16,Population at Each Census,1841,Dublin,Both sexes,Number,372773.0
17,Population at Each Census,1841,Kildare,Both sexes,Number,114488.0
18,Population at Each Census,1841,Clare,Both sexes,Number,286394.0
19,Population at Each Census,1841,Laois,Both sexes,Number,153930.0
20,Population at Each Census,1841,Kilkenny,Both sexes,Number,202420.0
21,Population at Each Census,1841,Louth,Both sexes,Number,128240.0
22,Population at Each Census,1841,Meath,Both sexes,Number,183828.0
23,Population at Each Census,1841,Offaly,Both sexes,Number,146857.0
24,Population at Each Census,1841,Westmeath,Both sexes,Number,141300.0
25,Population at Each Census,1841,Wexford,Both sexes,Number,202033.0
26,Population at Each Census,1841,Longford,Both sexes,Number,115491.0
27,Population at Each Census,1842,Limerick,Both sexes,Number,323239.3
28,Population at Each Census,1842,Tipperary,Both sexes,Number,425154.4
29,Population at Each Census,1842,Waterford,Both sexes,Number,192971.8
30,Population at Each Census,1842,Galway,Both sexes,Number,428346.6
31,Population at Each Census,1842,Donegal,Both sexes,Number,292319.0
32,Population at Each Census,1842,Mayo,Both sexes,Number,377448.2
33,Population at Each Census,1842,Roscommon,Both sexes,Number,245575.5
34,Population at Each Census,1842,Sligo,Both sexes,Number,175648.9
35,Population at Each Census,1842,Cavan,Both sexes,Number,236249.3
36,Population at Each Census,1842,Kerry,Both sexes,Number,288317.4
37,Population at Each Census,1842,Leitrim,Both sexes,Number,150957.0
38,Population at Each Census,1842,Cork,Both sexes,Number,833637.0
39,Population at Each Census,1842,Meath,Both sexes,Number,179520.0
40,Population at Each Census,1842,Wicklow,Both sexes,Number,123426.6
41,Population at Each Census,1842,Wexford,Both sexes,Number,199845.5
42,Population at Each Census,1842,Westmeath,Both sexes,Number,138310.7
43,Population at Each Census,1842,Offaly,Both sexes,Number,143378.9
44,Population at Each Census,1842,Louth,Both sexes,Number,126182.2
45,Population at Each Census,1842,Longford,Both sexes,Number,112176.7
46,Population at Each Census,1842,Laois,Both sexes,Number,149703.4
47,Population at Each Census,1842,Kilkenny,Both sexes,Number,198052.8
48,Population at Each Census,1842,Kildare,Both sexes,Number,112611.5
49,Population at Each Census,1842,Dublin,Both sexes,Number,376010.4
50,Population at Each Census,1842,Monaghan,Both sexes,Number,194580.1
51,Population at Each Census,1842,Clare,Both sexes,Number,278998.6
52,Population at Each Census,1842,Carlow,Both sexes,Number,84413.0
53,Population at Each Census,1842,State,Both sexes,Number,6387074.8
54,Population at Each Census,1843,Galway,Both sexes,Number,416495.2
55,Population at Each Census,1843,Monaghan,Both sexes,Number,188718.2
56,Population at Each Census,1843,Donegal,Both sexes,Number,288190.0
57,Population at Each Census,1843,Cavan,Both sexes,Number,229340.6
58,Population at Each Census,1843,Sligo,Both sexes,Number,170411.8
59,Population at Each Census,1843,Roscommon,Both sexes,Number,237560.0
60,Population at Each Census,1843,Mayo,Both sexes,Number,366009.4
61,Population at Each Census,1843,Leitrim,Both sexes,Number,146617.0
62,Population at Each Census,1843,Waterford,Both sexes,Number,189756.6
63,Population at Each Census,1843,Tipperary,Both sexes,Number,414755.8
64,Population at Each Census,1843,Limerick,Both sexes,Number,316449.6
65,Population at Each Census,1843,Cork,Both sexes,Number,813156.0
66,Population at Each Census,1843,Clare,Both sexes,Number,271603.2
67,Population at Each Census,1843,Kerry,Both sexes,Number,282754.8
68,Population at Each Census,1843,Wexford,Both sexes,Number,197658.0
69,Population at Each Census,1843,State,Both sexes,Number,6245350.6
70,Population at Each Census,1843,Carlow,Both sexes,Number,82598.0
71,Population at Each Census,1843,Dublin,Both sexes,Number,379247.8
72,Population at Each Census,1843,Kildare,Both sexes,Number,110735.0
73,Population at Each Census,1843,Wicklow,Both sexes,Number,120710.2
74,Population at Each Census,1843,Laois,Both sexes,Number,145476.8
75,Population at Each Census,1843,Kilkenny,Both sexes,Number,193685.6
76,Population at Each Census,1843,Louth,Both sexes,Number,124124.4
77,Population at Each Census,1843,Meath,Both sexes,Number,175212.0
78,Population at Each Census,1843,Offaly,Both sexes,Number,139900.8
79,Population at Each Census,1843,Westmeath,Both sexes,Number,135321.4
80,Population at Each Census,1843,Longford,Both sexes,Number,108862.4
81,Population at Each Census,1844,Limerick,Both sexes,Number,309659.9
82,Population at Each Census,1844,Leitrim,Both sexes,Number,142277.0
83,Population at Each Census,1844,Tipperary,Both sexes,Number,404357.2
84,Population at Each Census,1844,Waterford,Both sexes,Number,186541.4
85,Population at Each Census,1844,Galway,Both sexes,Number,404643.8
86,Population at Each Census,1844,Mayo,Both sexes,Number,354570.6
87,Population at Each Census,1844,Laois,Both sexes,Number,141250.2
88,Population at Each Census,1844,Sligo,Both sexes,Number,165174.7
89,Population at Each Census,1844,Cavan,Both sexes,Number,222431.9
90,Population at Each Census,1844,Donegal,Both sexes,Number,284061.0
91,Population at Each Census,1844,Monaghan,Both sexes,Number,182856.3
92,Population at Each Census,1844,Kerry,Both sexes,Number,277192.2
93,Population at Each Census,1844,Roscommon,Both sexes,Number,229544.5
94,Population at Each Census,1844,Cork,Both sexes,Number,792675.0
95,Population at Each Census,1844,Carlow,Both sexes,Number,80783.0
96,Population at Each Census,1844,Wicklow,Both sexes,Number,117993.8
97,Population at Each Census,1844,State,Both sexes,Number,6103626.4
98,Population at Each Census,1844,Dublin,Both sexes,Number,382485.2
99,Population at Each Census,1844,Kildare,Both sexes,Number,108858.5
100,Population at Each Census,1844,Clare,Both sexes,Number,264207.8
101,Population at Each Census,1844,Longford,Both sexes,Number,105548.1
102,Population at Each Census,1844,Kilkenny,Both sexes,Number,189318.4
103,Population at Each Census,1844,Meath,Both sexes,Number,170904.0
104,Population at Each Census,1844,Offaly,Both sexes,Number,136422.7
105,Population at Each Census,1844,Westmeath,Both sexes,Number,132332.1
106,Population at Each Census,1844,Wexford,Both sexes,Number,195470.5
107,Population at Each Census,1844,Louth,Both sexes,Number,122066.6
108,Population at Each Census,1845,Limerick,Both sexes,Number,302870.2
109,Population at Each Census,1845,Leitrim,Both sexes,Number,137937.0
110,Population at Each Census,1845,Tipperary,Both sexes,Number,393958.6
111,Population at Each Census,1845,Waterford,Both sexes,Number,183326.2
112,Population at Each Census,1845,Galway,Both sexes,Number,392792.4
113,Population at Each Census,1845,Mayo,Both sexes,Number,343131.8
114,Population at Each Census,1845,Wicklow,Both sexes,Number,115277.4
115,Population at Each Census,1845,Sligo,Both sexes,Number,159937.6
