,Statistic Label,CensusYear,County,Sex,UNIT,VALUE
0,Population at Each Census,1841,State,Both sexes,Number,6528799
1,Population at Each Census,1841,Donegal,Both sexes,Number,296448
2,Population at Each Census,1841,Cavan,Both sexes,Number,243158
3,Population at Each Census,1841,Sligo,Both sexes,Number,180886
4,Population at Each Census,1841,Roscommon,Both sexes,Number,253591
5,Population at Each Census,1841,Mayo,Both sexes,Number,388887
6,Population at Each Census,1841,Leitrim,Both sexes,Number,155297
7,Population at Each Census,1841,Galway,Both sexes,Number,440198
8,Population at Each Census,1841,Waterford,Both sexes,Number,196187
9,Population at Each Census,1841,Tipperary,Both sexes,Number,435553
10,Population at Each Census,1841,Limerick,Both sexes,Number,330029
11,Population at Each Census,1841,Kerry,Both sexes,Number,293880
12,Population at Each Census,1841,Cork,Both sexes,Number,854118
13,Population at Each Census,1841,Monaghan,Both sexes,Number,200442
14,Population at Each Census,1841,Wicklow,Both sexes,Number,126143
15,Population at Each Census,1841,Carlow,Both sexes,Number,86228
16,Population at Each Census,1841,Dublin,Both sexes,Number,372773
17,Population at Each Census,1841,Kildare,Both sexes,Number,114488
18,Population at Each Census,1841,Clare,Both sexes,Number,286394
19,Population at Each Census,1841,Laois,Both sexes,Number,153930
20,Population at Each Census,1841,Kilkenny,Both sexes,Number,202420
21,Population at Each Census,1841,Louth,Both sexes,Number,128240
22,Population at Each Census,1841,Meath,Both sexes,Number,183828
23,Population at Each Census,1841,Offaly,Both sexes,Number,146857
24,Population at Each Census,1841,Westmeath,Both sexes,Number,141300
25,Population at Each Census,1841,Wexford,Both sexes,Number,202033
26,Population at Each Census,1841,Longford,Both sexes,Number,115491
27,Population at Each Census,1842,Limerick,Both sexes,Number,0
28,Population at Each Census,1842,Tipperary,Both sexes,Number,0
29,Population at Each Census,1842,Waterford,Both sexes,Number,0
30,Population at Each Census,1842,Galway,Both sexes,Number,0
31,Population at Each Census,1842,Donegal,Both sexes,Number,0
32,Population at Each Census,1842,Mayo,Both sexes,Number,0
33,Population at Each Census,1842,Roscommon,Both sexes,Number,0
34,Population at Each Census,1842,Sligo,Both sexes,Number,0
35,Population at Each Census,1842,Cavan,Both sexes,Number,0
36,Population at Each Census,1842,Kerry,Both sexes,Number,0
37,Population at Each Census,1842,Leitrim,Both sexes,Number,0
38,Population at Each Census,1842,Cork,Both sexes,Number,0
39,Population at Each Census,1842,Meath,Both sexes,Number,0
40,Population at Each Census,1842,Wicklow,Both sexes,Number,0
41,Population at Each Census,1842,Wexford,Both sexes,Number,0
42,Population at Each Census,1842,Westmeath,Both sexes,Number,0
43,Population at Each Census,1842,Offaly,Both sexes,Number,0
44,Population at Each Census,1842,Louth,Both sexes,Number,0
45,Population at Each Census,1842,Longford,Both sexes,Number,0
46,Population at Each Census,1842,Laois,Both sexes,Number,0
47,Population at Each Census,1842,Kilkenny,Both sexes,Number,0
48,Population at Each Census,1842,Kildare,Both sexes,Number,0
49,Population at Each Census,1842,Dublin,Both sexes,Number,0
50,Population at Each Census,1842,Monaghan,Both sexes,Number,0
51,Population at Each Census,1842,Clare,Both sexes,Number,0
52,Population at Each Census,1842,Carlow,Both sexes,Number,0
53,Population at Each Census,1842,State,Both sexes,Number,0
54,Population at Each Census,1843,Galway,Both sexes,Number,0
55,Population at Each Census,1843,Monaghan,Both sexes,Number,0
56,Population at Each Census,1843,Donegal,Both sexes,Number,0
57,Population at Each Census,1843,Cavan,Both sexes,Number,0
58,Population at Each Census,1843,Sligo,Both sexes,Number,0
59,Population at Each Census,1843,Roscommon,Both sexes,Number,0
60,Population at Each Census,1843,Mayo,Both sexes,Number,0
61,Population at Each Census,1843,Leitrim,Both sexes,Number,0
62,Population at Each Census,1843,Waterford,Both sexes,Number,0
63,Population at Each Census,1843,Tipperary,Both sexes,Number,0
64,Population at Each Census,1843,Limerick,Both sexes,Number,0
65,Population at Each Census,1843,Cork,Both sexes,Number,0
66,Population at Each Census,1843,Clare,Both sexes,Number,0
67,Population at Each Census,1843,Kerry,Both sexes,Number,0
68,Population at Each Census,1843,Wexford,Both sexes,Number,0
69,Population at Each Census,1843,State,Both sexes,Number,0
70,Population at Each Census,1843,Carlow,Both sexes,Number,0
71,Population at Each Census,1843,Dublin,Both sexes,Number,0
72,Population at Each Census,1843,Kildare,Both sexes,Number,0
73,Population at Each Census,1843,Wicklow,Both sexes,Number,0
74,Population at Each Census,1843,Laois,Both sexes,Number,0
75,Population at Each Census,1843,Kilkenny,Both sexes,Number,0
76,Population at Each Census,1843,Louth,Both sexes,Number,0
77,Population at Each Census,1843,Meath,Both sexes,Number,0
78,Population at Each Census,1843,Offaly,Both sexes,Number,0
79,Population at Each Census,1843,Westmeath,Both sexes,Number,0
80,Population at Each Census,1843,Longford,Both sexes,Number,0
81,Population at Each Census,1844,Limerick,Both sexes,Number,0
82,Population at Each Census,1844,Leitrim,Both sexes,Number,0
83,Population at Each Census,1844,Tipperary,Both sexes,Number,0
84,Population at Each Census,1844,Waterford,Both sexes,Number,0
85,Population at Each Census,1844,Galway,Both sexes,Number,0
86,Population at Each Census,1844,Mayo,Both sexes,Number,0
87,Population at Each Census,1844,Laois,Both sexes,Number,0
88,Population at Each Census,1844,Sligo,Both sexes,Number,0
89,Population at Each Census,1844,Cavan,Both sexes,Number,0
90,Population at Each Census,1844,Donegal,Both sexes,Number,0
91,Population at Each Census,1844,Monaghan,Both sexes,Number,0
92,Population at Each Census,1844,Kerry,Both sexes,Number,0
93,Population at Each Census,1844,Roscommon,Both sexes,Number,0
94,Population at Each Census,1844,Cork,Both sexes,Number,0
95,Population at Each Census,1844,Carlow,Both sexes,Number,0
96,Population at Each Census,1844,Wicklow,Both sexes,Number,0
97,Population at Each Census,1844,State,Both sexes,Number,0
98,Population at Each Census,1844,Dublin,Both sexes,Number,0
99,Population at Each Census,1844,Kildare,Both sexes,Number,0
100,Population at Each Census,1844,Clare,Both sexes,Number,0
101,Population at Each Census,1844,Longford,Both sexes,Number,0
102,Population at Each Census,1844,Kilkenny,Both sexes,Number,0
103,Population at Each Census,1844,Meath,Both sexes,Number,0
104,Population at Each Census,1844,Offaly,Both sexes,Number,0
105,Population at Each Census,1844,Westmeath,Both sexes,Number,0
106,Population at Each Census,1844,Wexford,Both sexes,Number,0
107,Population at Each Census,1844,Louth,Both sexes,Number,0
108,Population at Each Census,1845,Limerick,Both sexes,Number,0
109,Population at Each Census,1845,Leitrim,Both sexes,Number,0
110,Population at Each Census,1845,Tipperary,Both sexes,Number,0
111,Population at Each Census,1845,Waterford,Both sexes,Number,0
112,Population at Each Census,1845,Galway,Both sexes,Number,0
113,Population at Each Census,1845,Mayo,Both sexes,Number,0
114,Population at Each Census,1845,Wicklow,Both sexes,Number,0
115,Population at Each Census,1845,Sligo,Both sexes,Number,0
116,Population at Each Census,1845,Cavan,Both sexes,Number,0
117,Population at Each Census,1845,Donegal,Both sexes,Number,0
118,Population at Each Census,1845,Monaghan,Both sexes,Number,0
119,Population at Each Census,1845,Kerry,Both sexes,Number,0
120,Population at Each Census,1845,Roscommon,Both sexes,Number,0
121,Population at Each Census,1845,Cork,Both sexes,Number,0
122,Population at Each Census,1845,Kilkenny,Both sexes,Number,0
123,Population at Each Census,1845,State,Both sexes,Number,0
124,Population at Each Census,1845,Carlow,Both sexes,Number,0
125,Population at Each Census,1845,Dublin,Both sexes,Number,0
126,Population at Each Census,1845,Kildare,Both sexes,Number,0
127,Population at Each Census,1845,Laois,Both sexes,Number,0
128,Population at Each Census,1845,Longford,Both sexes,Number,0
129,Population at Each Census,1845,Clare,Both sexes,Number,0
130,Population at Each Census,1845,Meath,Both sexes,Number,0
131,Population at Each Census,1845,Offaly,Both sexes,Number,0
132,Population at Each Census,1845,Westmeath,Both sexes,Number,0
133,Population at Each Census,1845,Wexford,Both sexes,Number,0
134,Population at Each Census,1845,Louth,Both sexes,Number,0
135,Population at Each Census,1846,Kerry,Both sexes,Number,0
136,Population at Each Census,1846,Limerick,Both sexes,Number,0
137,Population at Each Census,1846,Tipperary,Both sexes,Number,0
138,Population at Each Census,1846,Waterford,Both sexes,Number,0
139,Population at Each Census,1846,Galway,Both sexes,Number,0
140,Population at Each Census,1846,Leitrim,Both sexes,Number,0
141,Population at Each Census,1846,Roscommon,Both sexes,Number,0
142,Population at Each Census,1846,Sligo,Both sexes,Number,0
143,Population at Each Census,1846,Cavan,Both sexes,Number,0
144,Population at Each Census,1846,Donegal,Both sexes,Number,0
145,Population at Each Census,1846,Cork,Both sexes,Number,0
146,Population at Each Census,1846,Monaghan,Both sexes,Number,0
147,Population at Each Census,1846,Mayo,Both sexes,Number,0
148,Population at Each Census,1846,Wicklow,Both sexes,Number,0
149,Population at Each Census,1846,Meath,Both sexes,Number,0
150,Population at Each Census,1846,Wexford,Both sexes,Number,0
151,Population at Each Census,1846,State,Both sexes,Number,0
152,Population at Each Census,1846,Carlow,Both sexes,Number,0
153,Population at Each Census,1846,Dublin,Both sexes,Number,0
154,Population at Each Census,1846,Clare,Both sexes,Number,0
155,Population at Each Census,1846,Kilkenny,Both sexes,Number,0
156,Population at Each Census,1846,Kildare,Both sexes,Number,0
157,Population at Each Census,1846,Longford,Both sexes,Number,0
158,Population at Each Census,1846,Louth,Both sexes,Number,0
159,Population at Each Census,1846,Offaly,Both sexes,Number,0
160,Population at Each Census,1846,Westmeath,Both sexes,Number,0
161,Population at Each Census,1846,Laois,Both sexes,Number,0
162,Population at Each Census,1847,Waterford,Both sexes,Number,0
163,Population at Each Census,1847,Kerry,Both sexes,Number,0
164,Population at Each Census,1847,Limerick,Both sexes,Number,0
165,Population at Each Census,1847,Tipperary,Both sexes,Number,0
166,Population at Each Census,1847,Galway,Both sexes,Number,0
167,Population at Each Census,1847,Cavan,Both sexes,Number,0
168,Population at Each Census,1847,Mayo,Both sexes,Number,0
169,Population at Each Census,1847,Roscommon,Both sexes,Number,0
170,Population at Each Census,1847,Sligo,Both sexes,Number,0
171,Population at Each Census,1847,Cork,Both sexes,Number,0
172,Population at Each Census,1847,Leitrim,Both sexes,Number,0
173,Population at Each Census,1847,Wicklow,Both sexes,Number,0
174,Population at Each Census,1847,Clare,Both sexes,Number,0
175,Population at Each Census,1847,Westmeath,Both sexes,Number,0
176,Population at Each Census,1847,Offaly,Both sexes,Number,0
177,Population at Each Census,1847,Meath,Both sexes,Number,0
178,Population at Each Census,1847,Louth,Both sexes,Number,0
179,Population at Each Census,1847,Longford,Both sexes,Number,0
