DATE,QIEN628BIS
2010-01-01,105.2549
2010-04-01,101.6796
2010-07-01,98.6936
2010-10-01,94.3719
2011-01-01,90.0501
2011-04-01,85.414
2011-07-01,80.3065
2011-10-01,75.8275
2012-01-01,72.4487
2012-04-01,70.7593
2012-07-01,71.5843
2012-10-01,72.1737
2013-01-01,70.0913
2013-04-01,70.1306
2013-07-01,74.0988
2013-10-01,76.2204
2014-01-01,77.4384
2014-04-01,81.7601
2014-07-01,88.3607
2014-10-01,91.1109
2015-01-01,90.993
2015-04-01,93.036
2015-07-01,96.022
2015-10-01,97.4364
2016-01-01,97.79
2016-04-01,98.8901
2016-07-01,103.1726
2016-10-01,105.7656
2017-01-01,106.9836
2017-04-01,109.3409
2017-07-01,115.3128
2017-10-01,118.1023
2018-01-01,120.1454
2018-04-01,123.0527
2018-07-01,125.803
2018-10-01,126.6673
2019-01-01,125.4887
2019-04-01,126.1566
2019-07-01,127.9639
2019-10-01,127.7281
2020-01-01,126.7459
2020-04-01,126.5887
2020-07-01,126.9423
2020-10-01,128.6318
2021-01-01,130.5569
2021-04-01,133.7
2021-07-01,140.4577
2021-10-01,146.3903
2022-01-01,150.0835
2022-04-01,152.7551
2022-07-01,157.1162
2022-10-01,158.9235
2023-01-01,157.7841
